Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
25717,9.4,493,7,7,9,3,1,0,0,17,4,826,0
28851,9.2,442,14,12,8,9,1,1,1,17,5,4292,1
24559,8.8,412,8,10,14,3,0,1,0,15,2,-4292,0
29149,9.0,406,17,19,4,5,1,2,1,21,2,5802,1
23347,8.2,389,4,3,17,2,1,0,0,19,6,-5802,0
26059,8.6,389,10,9,17,4,1,0,0,20,5,-2810,0
28869,9.0,397,17,25,10,5,1,2,1,26,6,2810,1
25131,8.2,368,10,18,21,4,0,0,0,18,4,-3924,0
29055,9.4,411,21,18,10,5,0,1,1,19,3,3924,1
25154,8.8,393,9,5,11,4,0,0,1,14,1,-1548,1
26702,9.0,419,11,7,9,9,1,1,0,17,5,1548,0
22839,8.4,373,7,9,10,3,0,0,1,17,2,-3765,0
26604,9.2,450,10,11,7,4,1,1,0,20,3,3765,1
24300,8.4,400,9,6,13,3,0,0,0,10,4,-4125,0
28425,8.8,438,13,13,9,6,1,1,1,22,6,4125,1
22506,8.6,410,7,9,10,0,0,0,1,20,2,-1411,0
23917,9.0,411,10,12,7,0,0,2,0,23,5,1411,1
27078,8.8,413,11,11,12,8,0,0,1,17,4,2377,1
24701,8.6,385,12,9,11,2,0,2,0,21,4,-2377,0
33325,8.8,463,16,14,0,9,8,0,1,15,4,17418,1
15907,6.4,235,0,0,16,0,0,0,0,9,1,-17418,0
23421,7.8,376,10,16,10,0,0,1,0,18,4,-3206,0
26627,8.8,440,10,13,10,6,1,0,1,24,2,3206,1
27413,9.2,412,15,12,11,4,0,0,1,21,3,3178,0
24235,8.2,373,11,10,15,3,0,1,0,20,6,-3178,1
24977,8.8,432,8,6,6,3,0,0,0,19,4,118,0
24859,8.8,427,6,5,8,5,1,1,1,22,2,-118,1
22746,7.8,349,8,3,25,2,0,0,0,14,4,-9163,0
31909,8.8,383,25,36,8,9,2,1,1,25,1,9163,1
27366,8.6,371,16,8,13,4,1,1,1,16,3,986,0
26380,8.8,364,13,15,16,4,0,1,0,15,4,-986,1
31610,9.0,427,19,25,10,10,2,0,1,21,5,9091,1
22519,8.4,341,10,8,19,0,0,1,0,11,4,-9091,0
25919,8.8,423,12,16,16,1,0,1,0,10,8,-3123,0
29042,9.0,421,16,23,12,7,1,0,1,18,5,3123,1
24129,8.6,382,10,8,11,1,0,1,0,16,6,-1921,1
26050,8.8,434,11,8,10,5,0,0,0,11,5,1921,0
27089,8.6,406,10,7,13,7,1,0,1,23,5,959,0
26130,8.6,376,13,19,10,4,0,2,0,17,4,-959,1
